#  theta sf
 193.889 0.107433
 194.576 0.107723
 195.264 0.108013
 195.952 0.108301
 196.639 0.108589
 197.327 0.108875
 198.014 0.10916
 198.702 0.109444
 199.389 0.109726
 200.077 0.110008
 200.764 0.110289
 201.452 0.110568
 202.14 0.110846
 202.827 0.111123
 203.515 0.111399
 204.202 0.111674
 204.89 0.111948
 205.577 0.112221
 206.265 0.112493
 206.952 0.112763
 207.64 0.113033
 208.327 0.113301
 209.015 0.113568
 209.703 0.113835
 210.39 0.1141
 211.078 0.114364
 211.765 0.114627
 212.453 0.114889
 213.14 0.11515
 213.828 0.11541
 214.515 0.115669
 215.203 0.115927
 215.89 0.116184
 216.578 0.11644
 217.266 0.116694
 217.953 0.116948
 218.641 0.117201
 219.328 0.117453
 220.016 0.117704
 220.703 0.117953
 221.391 0.118202
 222.078 0.11845
 222.766 0.118697
 223.454 0.118942
 224.141 0.119187
 224.829 0.119431
 225.516 0.119674
 226.204 0.119916
 226.891 0.120157
 227.579 0.120397
 228.266 0.120636
 228.954 0.120874
 229.641 0.121111
 230.329 0.121347
 231.017 0.121582
 231.704 0.121817
 232.392 0.12205
 233.079 0.122282
 233.767 0.122514
 234.454 0.122744
 235.142 0.122974
 235.829 0.123203
 236.517 0.123431
 237.205 0.123658
 237.892 0.123884
 238.58 0.124109
 239.267 0.124333
 239.955 0.124556
 240.642 0.124779
 241.33 0.125
 242.017 0.125221
 242.705 0.12544
 243.392 0.125659
 244.08 0.125877
 244.768 0.126095
 245.455 0.126311
 246.143 0.126526
 246.83 0.126741
 247.518 0.126954
 248.205 0.127167
 248.893 0.127379
 249.58 0.12759
 250.268 0.127801
 250.956 0.12801
 251.643 0.128219
 252.331 0.128427
 253.018 0.128634
 253.706 0.12884
 254.393 0.129045
 255.081 0.129249
 255.768 0.129453
 256.456 0.129656
 257.143 0.129858
 257.831 0.130059
 258.519 0.13026
 259.206 0.130459
 259.894 0.130658
 260.581 0.130856
 261.269 0.131054
 261.956 0.13125
 262.644 0.131446
 263.331 0.131641
 264.019 0.131835
 264.707 0.132028
 265.394 0.132221
 266.082 0.132413
 266.769 0.132604
 267.457 0.132794
 268.144 0.132983
 268.832 0.133172
 269.519 0.13336
 270.207 0.133547
 270.894 0.133734
 271.582 0.13392
 272.27 0.134105
 272.957 0.134289
 273.645 0.134473
 274.332 0.134655
 275.02 0.134838
 275.707 0.135019
 276.395 0.1352
 277.082 0.135379
 277.77 0.135559
 278.457 0.135737
 279.145 0.135915
 279.833 0.136092
 280.52 0.136268
 281.208 0.136444
 281.895 0.136619
 282.583 0.136793
 283.27 0.136967
 283.958 0.13714
 284.645 0.137312
 285.333 0.137483
